data$StartDate,data$Finished,data$DistributionChannel,data$accetto.non.accetto,sbj,a_1,a_2,a_3,a_logic1,a_logic2,a_logic3,a_logic4,a1_1,a1_2,a1_3,a1_logic1,a1_logic2,a1_logic3,a1_logic4,b_visuo1,b_visuo2,b_visuo3,b_logic1,b_logic2,b_logic3,b_logic4,b1_visuo1,b1_visuo3,b1_visuo2,b1_logic1,b1_logic2,b1_logic3,b1_logic4
01/12/2022 15:43,1,preview,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/12/2022 15:45,1,preview,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/12/2022 21:16,1,preview,1,13,correct,r.left,wp.copy,wp.copy,r.left,r.top,r.diag,wp.copy,correct,r.diag,correct,wp.copy,correct,r.left,wp.matrix,wp.matrix,ic.neg,wp.matrix,r.left,wp.matrix,correct,correct,correct,correct,ic.inc,r.left,ic.flip,correct
12/12/2022 21:34,1,preview,1,14,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,NA,correct,correct,correct,correct,correct,NA,NA,correct,correct,correct,correct,NA,NA,NA,NA,correct
13/12/2022 06:26,1,preview,1,15,correct,wp.matrix,r.left,r.top,correct,correct,r.diag,r.left,r.diag,wp.copy.ic.flip,wp.copy,wp.matrix,ic.inc,wp.copy,correct,d.union,r.top,wp.matrix,ic.flip,correct,ic.scale,correct,r.top,wp.matrix,wp.copy,correct,d.union,correct
13/12/2022 11:08,1,anonymous,1,16,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
13/12/2022 11:27,1,anonymous,1,17,wp.copy,r.left,ic.flip,r.diag,wp.matrix,ic.inc,correct,r.diag,r.left,wp.copy.ic.flip,ic.flip,r.left,ic.flip,wp.copy,ic.flip,d.union,d.union,ic.inc,r.left,r.diag,d.union,wp.matrix,wp.matrix,d.union,ic.inc,correct,correct,wp.copy
13/12/2022 12:54,1,anonymous,1,18,ic.flip,r.left,wp.matrix,ic.inc,correct,r.top,correct,wp.copy,r.diag,wp.matrix,r.top,wp.matrix,r.top,correct,ic.flip,correct,correct,wp.matrix,ic.flip,ic.flip,correct,correct,d.union,correct,wp.copy,correct,correct,correct
13/12/2022 12:41,1,anonymous,1,19,correct,correct,correct,correct,correct,correct,correct,ic.flip,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ic.flip,correct,correct,r.top,correct,correct,correct
13/12/2022 14:04,1,anonymous,1,110,correct,correct,correct,wp.matrix,ic.flip,correct,correct,correct,correct,wp.copy.ic.flip,r.top,wp.copy,ic.inc,correct,correct,correct,correct,wp.matrix,ic.flip,correct,correct,ic.flip,correct,correct,wp.copy,correct,correct,correct
13/12/2022 18:47,1,anonymous,1,111,r.top,correct,r.top,wp.matrix,correct,correct,correct,r.diag,correct,ic.inc,r.top,wp.copy,wp.matrix,wp.matrix,correct,wp.matrix,correct,r.top,wp.matrix,d.union,ic.scale,ic.flip,d.union,d.union,r.top,d.union,ic.flip,correct
13/12/2022 18:14,1,anonymous,1,112,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
