"sbj","a_1","a_2","a_3","a_logic1","a_logic2","a_logic3","a_logic4","a1_1","a1_2","a1_3","a1_logic1","a1_logic2","a1_logic3","a1_logic4","b_visuo1","b_visuo2","b_visuo3","b_logic1","b_logic2","b_logic3","b_logic4","b1_visuo1","b1_visuo3","b1_visuo2","b1_logic1","b1_logic2","b1_logic3","b1_logic4"
113,"correct","correct","correct","ic","ic","correct","correct","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
114,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
115,"ic","correct","correct","ic","correct","correct","correct","correct","correct","wp.copy.ic.flip","ic","d.union","correct","correct","correct","correct","correct","r","r","correct","correct","correct","correct","correct","d.union","correct","ic","correct"
116,"correct","correct","ic","correct","ic","correct","correct","ic","correct","correct","correct","ic","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
117,"ic","correct","correct","r","correct","correct","correct","correct","correct","ic","ic","correct","correct","correct","correct","correct","correct","correct","r","correct","correct","correct","correct","correct","ic","correct","correct","correct"
118,"correct","correct","correct","r","correct","wp","correct","wp","r","wp.copy.ic.flip","r","d.union","correct","correct","r","d.union","ic","r","correct","d.union","wp","correct","correct","d.union","wp","correct","ic","ic"
119,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
120,"ic","correct","correct","ic","correct","correct","correct","r","correct","wp.copy.ic.flip","correct","r","ic","correct","ic","correct","correct","r","r","correct","correct","correct","correct","correct","wp","correct","correct","correct"
121,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","ic","r","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
122,"correct","correct","correct","correct","ic","correct","correct","ic","correct","wp.copy.ic.flip","r","wp","correct","correct","r","correct","correct","correct","r","correct","correct","correct","correct","correct","wp","correct","correct","correct"
123,"ic","correct","correct","correct","correct","correct","correct","correct","correct","wp.copy.ic.flip","correct","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
124,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","ic"
125,"correct","correct","correct","correct","correct","correct","ic","correct","correct","correct","correct","r","correct","correct","ic","correct","ic","d.union","correct","correct","correct","ic","correct","correct","wp","correct","correct","correct"
126,"correct","correct","correct","correct","ic","correct","correct","ic","correct","correct","r","r","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
127,"correct","correct","correct","correct","correct","correct","correct","correct","correct","wp.copy.ic.flip","correct","correct","correct","correct","ic","correct","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","ic"
128,"correct","correct","correct","r","correct","correct","correct","correct","correct","wp.copy.ic.flip",NA,"r","correct","correct","correct","correct","correct","correct","correct","ic","correct","correct","correct","correct","correct","d.union","correct","correct"
130,"correct","correct","correct","r","correct","correct","r","correct","correct","r","correct","r","correct","correct","ic","correct","correct","correct","correct","correct","correct","ic","correct","correct","wp","correct","ic","correct"
136,"correct","wp","correct","r","ic","r","correct","correct","r","wp.copy.ic.flip","correct","r","ic","correct","correct","correct","ic","r","correct","ic","correct","correct","correct","correct","wp","correct","ic","correct"
138,"correct","correct","correct","ic","wp","correct","correct","d.union","wp","correct","correct","ic","wp","r","correct","correct","correct","correct","r","correct","correct","correct","correct","correct","wp","correct","r","correct"
139,"ic","correct","correct","ic","correct","correct","correct","correct","correct","correct","ic","ic","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
140,"ic","correct","correct","wp","correct","r","wp","correct","correct","wp.copy.ic.flip","r","correct","r","correct","correct","r","correct","r","r","correct","ic","ic","r","correct","correct","r","r","correct"
144,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","ic","correct","correct","correct","ic","correct","correct","correct","correct","ic","correct","correct","correct","correct","ic","ic","correct","correct"
145,"r","r","correct","ic","r","wp","r","ic","r","wp.copy.ic.flip","r","wp","ic","ic","ic","d.union","correct","r","ic","correct","r","ic","correct","correct","wp","ic","correct","correct"
147,"ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","r","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","r","correct","correct","correct"
148,"correct","correct","correct","ic","ic","ic","correct","correct","correct","ic","correct","r","correct","correct","correct","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
149,"correct","wp","correct","ic","ic","correct","r","correct","correct","wp.copy.ic.flip","r","wp","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
159,"correct","correct","correct","r","correct","correct","correct","correct","correct","ic","wp","r","correct","correct","ic","correct","correct","r","r","correct","correct","correct","correct","correct","r","correct","correct","correct"
160,"correct","correct","r","correct","correct","correct","correct","ic","correct","correct","r","correct",NA,"ic","ic","correct","correct","correct","correct","correct","correct","ic","ic","correct","r","correct","correct","correct"
161,"correct","correct","correct","r","ic","r","r","r","r","correct","r","r","r","ic","r","r","correct","r","r","correct","correct","ic","correct","correct","r","r","correct","ic"
164,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","ic","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
165,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","r","correct","correct","correct"
166,"correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct","correct"
172,"ic","correct","wp","r","ic","correct","ic","ic","correct","r","r","wp","ic","wp","ic","correct","correct","correct","ic","correct","correct","ic","correct","correct","wp","correct","correct","correct"
173,"correct","correct","correct","correct","ic","correct","correct","ic","correct","correct",NA,"r","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","wp","correct","ic","correct"
174,"ic","correct","correct","r","ic","correct","correct","ic","correct","r","r","ic","correct","correct","ic","correct","correct","correct","correct","correct","correct","correct","correct","correct","wp","correct","correct","correct"
